+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | [Landorus-Therian]      |  110 |  50.46% |  49.09% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 33   | Jirachi                 |    1 |   1.92% |   0.00% |
| 33   | Hawlucha                |    1 |   1.92% |   0.00% |
| 33   | Thundurus               |    1 |   1.92% |   0.00% |
| 33   | Gallade                 |    1 |   1.92% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 5    | [Greninja-*]            |   48 |  22.02% |  52.08% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   33 |  68.75% |  51.52% |
| 2    | Ferrothorn              |   19 |  39.58% |  47.37% |
| 3    | Tapu Lele               |   12 |  25.00% |  66.67% |
| 4    | Medicham                |   11 |  22.92% |  54.55% |
| 5    | Tapu Koko               |   10 |  20.83% |  60.00% |
| 5    | Rotom-Wash              |   10 |  20.83% |  60.00% |
| 5    | Clefable                |   10 |  20.83% |  40.00% |
| 8    | Kartana                 |    9 |  18.75% |  66.67% |
| 8    | Heatran                 |    9 |  18.75% |  44.44% |
| 8    | Melmetal                |    9 |  18.75% |  33.33% |
| 11   | Gliscor                 |    7 |  14.58% |  57.14% |
| 12   | Kyurem                  |    6 |  12.50% |  66.67% |
| 12   | Tapu Fini               |    6 |  12.50% |  33.33% |
| 14   | Diancie                 |    5 |  10.42% |  80.00% |
| 14   | Volcarona               |    5 |  10.42% |  60.00% |
| 14   | Latias                  |    5 |  10.42% |  20.00% |
| 14   | Hawlucha                |    5 |  10.42% |  20.00% |
| 18   | Mawile                  |    4 |   8.33% |  75.00% |
| 18   | Toxapex                 |    4 |   8.33% |  75.00% |
| 18   | Victini                 |    4 |   8.33% |  50.00% |
| 18   | Zapdos                  |    4 |   8.33% |  50.00% |
| 18   | Lopunny                 |    4 |   8.33% |  50.00% |
| 18   | Charizard               |    4 |   8.33% |  25.00% |
| 24   | Magnezone               |    3 |   6.25% | 100.00% |
| 24   | Hatterene               |    3 |   6.25% |  66.67% |
| 24   | Corviknight             |    3 |   6.25% |  66.67% |
| 24   | Garchomp                |    3 |   6.25% |  66.67% |
| 24   | Scizor                  |    3 |   6.25% |  33.33% |
| 24   | Pelipper                |    3 |   6.25% |  33.33% |
| 24   | Swampert                |    3 |   6.25% |  33.33% |
| 31   | Pinsir                  |    2 |   4.17% | 100.00% |
| 31   | Dragonite               |    2 |   4.17% |  50.00% |
| 31   | Manaphy                 |    2 |   4.17% |  50.00% |
| 31   | Kommo-o                 |    2 |   4.17% |  50.00% |
| 31   | Celesteela              |    2 |   4.17% |  50.00% |
| 36   | Latios                  |    1 |   2.08% | 100.00% |
| 36   | Diggersby               |    1 |   2.08% | 100.00% |
| 36   | Mantine                 |    1 |   2.08% | 100.00% |
| 36   | Slowking                |    1 |   2.08% | 100.00% |
| 36   | Glalie                  |    1 |   2.08% | 100.00% |
| 36   | Jirachi                 |    1 |   2.08% | 100.00% |
| 36   | Slowbro                 |    1 |   2.08% |   0.00% |
| 36   | Blissey                 |    1 |   2.08% |   0.00% |
| 36   | Reuniclus               |    1 |   2.08% |   0.00% |
| 36   | Hoopa-Unbound           |    1 |   2.08% |   0.00% |
| 36   | Tangrowth               |    1 |   2.08% |   0.00% |
| 36   | Suicune                 |    1 |   2.08% |   0.00% |
| 36   | Serperior               |    1 |   2.08% |   0.00% |
| 36   | Gallade                 |    1 |   2.08% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 6    | [Zapdos]                |   47 |  21.56% |  53.19% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Volt Switch             |   30 |  63.83% |  60.00% |
| 2    | Roost                   |   24 |  51.06% |  45.83% |
| 3    | Hurricane               |   17 |  36.17% |  47.06% |
| 4    | Heat Wave               |   15 |  31.91% |  60.00% |
| 5    | Hidden Power            |    8 |  17.02% |  75.00% |
| 5    | Supersonic Skystrike    |    8 |  17.02% |  25.00% |
| 7    | Discharge               |    6 |  12.77% |  50.00% |
| 8    | Thunder                 |    5 |  10.64% |   0.00% |
| 9    | Defog                   |    4 |   8.51% |  50.00% |
| 10   | Substitute              |    2 |   4.26% |  50.00% |
| 11   | U-turn                  |    1 |   2.13% | 100.00% |
| 11   | Rising Voltage          |    1 |   2.13% |   0.00% |
| 11   | Weather Ball            |    1 |   2.13% |   0.00% |
| 11   | Thunderbolt             |    1 |   2.13% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Ferrothorn              |   25 |  53.19% |  44.00% |
| 2    | Tapu Fini               |   21 |  44.68% |  47.62% |
| 3    | Weavile                 |   15 |  31.91% |  53.33% |
| 3    | Lopunny                 |   15 |  31.91% |  46.67% |
| 5    | Landorus-Therian        |   12 |  25.53% |  50.00% |
| 6    | Garchomp                |   11 |  23.40% |  54.55% |
| 6    | Heatran                 |   11 |  23.40% |  45.45% |
| 8    | Tapu Lele               |   10 |  21.28% |  70.00% |
| 8    | Tyranitar               |   10 |  21.28% |  60.00% |
| 10   | Excadrill               |    9 |  19.15% |  55.56% |
| 10   | Pelipper                |    9 |  19.15% |  44.44% |
| 10   | Swampert                |    9 |  19.15% |  44.44% |
| 13   | Melmetal                |    8 |  17.02% |  62.50% |
| 14   | Diancie                 |    7 |  14.89% |  71.43% |
| 14   | Manaphy                 |    7 |  14.89% |  57.14% |
| 16   | Kartana                 |    5 |  10.64% |  60.00% |
| 16   | Scizor                  |    5 |  10.64% |  40.00% |
| 16   | Toxapex                 |    5 |  10.64% |  40.00% |
| 19   | Greninja-*              |    4 |   8.51% |  50.00% |
| 20   | Urshifu                 |    3 |   6.38% |  66.67% |
| 20   | Cresselia               |    3 |   6.38% |  66.67% |
| 20   | Gliscor                 |    3 |   6.38% |  33.33% |
| 23   | Clefable                |    2 |   4.26% | 100.00% |
| 23   | Kyurem                  |    2 |   4.26% | 100.00% |
| 23   | Aegislash               |    2 |   4.26% |  50.00% |
| 23   | Chansey                 |    2 |   4.26% |  50.00% |
| 23   | Slowbro                 |    2 |   4.26% |  50.00% |
| 28   | Zeraora                 |    1 |   2.13% | 100.00% |
| 28   | Heracross               |    1 |   2.13% | 100.00% |
| 28   | Rillaboom               |    1 |   2.13% | 100.00% |
| 28   | Rotom-Wash              |    1 |   2.13% | 100.00% |
| 28   | Medicham                |    1 |   2.13% | 100.00% |
| 28   | Rapidash                |    1 |   2.13% | 100.00% |
| 28   | Sableye                 |    1 |   2.13% | 100.00% |
| 28   | Serperior               |    1 |   2.13% | 100.00% |
| 28   | Suicune                 |    1 |   2.13% | 100.00% |
| 28   | Corviknight             |    1 |   2.13% | 100.00% |
| 28   | Latias                  |    1 |   2.13% | 100.00% |
| 28   | Slowking-Galar          |    1 |   2.13% |   0.00% |
| 28   | Celesteela              |    1 |   2.13% |   0.00% |
| 28   | Beedrill                |    1 |   2.13% |   0.00% |
| 28   | Magnezone               |    1 |   2.13% |   0.00% |
| 28   | Tapu Koko               |    1 |   2.13% |   0.00% |
| 28   | Azumarill               |    1 |   2.13% |   0.00% |
| 28   | Pidgeot                 |    1 |   2.13% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 7    | [Kartana]               |   43 |  19.72% |  58.14% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Leaf Blade              |   19 |  44.19% |  63.16% |
| 2    | Knock Off               |   18 |  41.86% |  38.89% |
